location,Latitude,Longitude
"Connecticut, Simsbury, 6089",41.868647,-72.819742
"Connecticut, Bloomfield, 6002",41.851961,-72.738939
"Massachusetts, Clarksburg, 1247",42.701004,-73.15365
"Massachusetts, Lee, 1238",42.299342,-73.226581
"Massachusetts, Springfield, 1119",42.124979,-72.51121
"Massachusetts, Hampden, 1036",42.067614,-72.417507
"Massachusetts, Monson, 1057",42.095323,-72.282063
"Connecticut, Somers, 6071",41.98537,-72.4462
"Massachusetts, Springfield, 1128",42.094616,-72.487229
"Connecticut, Tolland, 6084",41.882553,-72.361039
"Connecticut, Hebron, 6231",41.689249,-72.398627
"Connecticut, South Windsor, 6074",41.824935,-72.602165
"Connecticut, Bolton, 6043",41.768648,-72.439278
"Connecticut, East Hartford, 6118",41.748999,-72.609884
"Connecticut, Manchester, 6042",41.776048,-72.523748
"Connecticut, East Hartford, 6108",41.769312,-72.654985
"Connecticut, Glastonbury, 6033",41.703451,-72.539332
"Connecticut, Columbia, 6237",41.696124,-72.300043
"Connecticut, Stafford Springs, 6076",41.95956,-72.31072
"New Hampshire, Troy, 3465",42.82397,-72.18119
"Connecticut, Marlborough, 6447",41.636949,-72.463179
"Connecticut, Hebron, 6248",41.689249,-72.398627
"Connecticut, Mansfield, 6268",41.799326,-72.306526
"Massachusetts, Wales, 1081",42.061948,-72.213598
"Connecticut, Andover, 6232",41.731847,-72.374634
"Connecticut, Glastonbury, 6073",41.703451,-72.539332
"Massachusetts, Templeton, 1436",42.555059,-72.072285
"Connecticut, Bolton, 6042",41.768648,-72.439278
"Connecticut, Willington, 6279",41.896623,-72.262236
"Massachusetts, Royalston, 1368",42.672182,-72.196376
"Massachusetts, Templeton, 1468",42.555059,-72.072285
"Massachusetts, Warren, 1092",42.179233,-72.203121
"Massachusetts, Phillipston, 1331",42.548699,-72.132858
"Massachusetts, East Brookfield, 1515",42.205311,-72.049907
"Massachusetts, Auburn, 1501",42.196469,-71.843341
"Vermont, Vernon, 5354",42.773711,-72.520166
"Massachusetts, Colrain, 1340",42.67314,-72.69676
"Vermont, Readsboro, 5350",42.785591,-72.971932
"Vermont, Stamford, 5352",42.756193,-73.067881
"Massachusetts, Rutland, 1543",42.383516,-71.95463
"Massachusetts, Spencer, 1562",42.24509,-71.99248
"Massachusetts, Gardner, 1440",42.582529,-72.025884
"Massachusetts, Worcester, 1604",42.276311,-71.813203
"Massachusetts, Charlton, 1507",42.13277,-71.972627
"Massachusetts, Worcester, 1602",42.275121,-71.814949
"Massachusetts, Oxford, 1540",42.109223,-71.855444
"Massachusetts, Millbury, 1527",42.219309,-71.761998
"Massachusetts, Sutton, 1590",42.126575,-71.755193
"Massachusetts, Worcester, 1610",42.276311,-71.813203
"Massachusetts, Worcester, 1605",42.288792,-71.796128
"Massachusetts, Worcester, 1603",42.276311,-71.813203
"Massachusetts, Worcester, 1606",42.311834,-71.794465
"Massachusetts, Sturbridge, 1566",42.130077,-72.067722
"Massachusetts, Worcester, 1607",42.276311,-71.813203
"Massachusetts, Grafton, 1560",42.203944,-71.682862
"Massachusetts, Holden, 1520",42.336791,-71.845316
"Massachusetts, Worcester, 1609",42.276501,-71.813435
"Massachusetts, Leicester, 1524",42.24593,-71.90868
"Massachusetts, Shrewsbury, 1545",42.286992,-71.715313
"Massachusetts, Paxton, 1612",42.3112,-71.92813
"Massachusetts, Princeton, 1541",42.451926,-71.880057
"Massachusetts, Bernardston, 1337",42.67092,-72.54953
"New Hampshire, Hinsdale, 3451",42.78881,-72.48881
"Vermont, Guilford, 5301",42.86284,-72.558073
"Vermont, Halifax, 5358",42.766519,-72.745723
"Massachusetts, Sturbridge, 1518",42.134319,-72.103161
"Massachusetts, Holland, 1521",42.061063,-72.163991
"Connecticut, Eastford, 6242",41.90204,-72.0798
"Connecticut, Ashford, 6278",41.889043,-72.147561
"Connecticut, Eastford, 6278",41.90204,-72.0798
"Connecticut, Union, 6076",41.99093,-72.157299
"Connecticut, Torrington, 6790",41.87484,-73.126763
"Connecticut, Brooklyn, 6234",41.78815,-71.9498
"Massachusetts, Southbridge, 1550",42.08712,-72.03479
"Connecticut, Woodstock, 6281",41.961991,-72.014108
"Connecticut, Mansfield, 6250",41.76182,-72.19446
"Connecticut, Pomfret, 6259",41.889048,-71.968232
"Connecticut, Woodstock, 6282",41.961991,-72.014108
"Connecticut, Hampton, 6247",41.78399,-72.0548
"Connecticut, Chaplin, 6235",41.80294,-72.126036
"Massachusetts, Dudley, 1571",42.059189,-71.937037
"Connecticut, Thompson, 6255",41.975796,-71.862047
"Connecticut, Thompson, 6262",41.975796,-71.862047
"Vermont, Bennington, 5201",42.8746,-73.18505
"Connecticut, Putnam, 6260",41.9151,-71.90896
"Connecticut, Thompson, 6277",41.975796,-71.862047
"Massachusetts, Webster, 1570",42.04465,-71.87485
"Massachusetts, Winchendon, 1475",42.661612,-72.047876
"Connecticut, Harwinton, 6791",41.77121,-73.05983
"Connecticut, West Hartford, 6117",41.78516,-72.763564
"Connecticut, Hartford, 6112",41.791337,-72.694337
"Connecticut, Hartford, 6120",41.785449,-72.669936
"Connecticut, Windham, 6226",41.693914,-72.137843
"Connecticut, Mansfield, 6226",41.71527,-72.21731
"Connecticut, Hartford, 6105",41.774499,-72.699537
"Connecticut, Hartford, 6106",41.745049,-72.687787
"Connecticut, Lebanon, 6249",41.628008,-72.245422
"Connecticut, Hartford, 6114",41.747399,-72.672237
"Connecticut, West Hartford, 6119",41.763137,-72.727308
"Connecticut, West Hartford, 6107",41.762045,-72.74204
"Massachusetts, Lenox, 1240",42.3587,-73.28549
"Connecticut, East Haddam, 6469",41.475478,-72.389729
"Connecticut, Durham, 6422",41.462468,-72.682297
"Connecticut, Wethersfield, 6109",41.698899,-72.667887
"Connecticut, Newington, 6111",41.708857,-72.719269
"Connecticut, New Britain, 6053",41.677019,-72.760732
"New York, Claverack, 12521",42.190488,-73.64465
"New York, Copake, 12521",42.190488,-73.64465
"New York, Copake, 12516",42.099322,-73.576102
"New York, Hillsdale, 12529",42.19327,-73.550028
"New York, Millerton, 12546",41.93846,-73.546336
"Connecticut, Sharon, 6069",41.874681,-73.433903
"Massachusetts, West Stockbridge, 1266",42.33332,-73.375628
"Massachusetts, Stockbridge, 1262",42.302802,-73.321433
"Massachusetts, Egremont, 1230",42.19358,-73.36216
"New York, Austerlitz, 12017",42.31175,-73.47317
"Massachusetts, Alford, 1230",42.19358,-73.36216
"New York, Nassau, 12123",42.534102,-73.619419
"New York, East Chatham, 12060",42.419964,-73.512815
"New York, Valatie, 12184",42.415385,-73.673419
"Connecticut, Watertown, 6795",41.60621,-73.11817
"New York, Kinderhook, 12106",42.385231,-73.704442
"Connecticut, Bethlehem, 6751",41.6409,-73.209685
"Connecticut, Litchfield, 6759",41.74732,-73.18872
"Massachusetts, Alford, 1266",42.33332,-73.375628
"Connecticut, Salisbury, 6068",42.00579,-73.399336
"Massachusetts, Mount Washington, 1258",42.16065,-73.41623
"New York, Canaan, 12029",42.41203,-73.44706
"New York, Copake, 12517",42.11953,-73.52512
"New York, New Lebanon, 12125",42.534102,-73.619419
"New York, Copake Falls, 12517",42.11953,-73.52512
"New York, Schodack Landing, 12123",42.534102,-73.619419
"Connecticut, Goshen, 6756",41.794278,-73.239023
"New York, Chatham Village, 12037",42.335777,-73.528651
"New York, Hoosick, 12090",42.912017,-73.403631
"New York, Chatham, 12060",42.419964,-73.512815
"New York, Stephentown, 12169",42.592887,-73.448036
"New York, Kinderhook, 12184",42.415385,-73.673419
"Connecticut, Cornwall, 6796",41.828067,-73.332345
"New York, Hoosick Falls, 12090",42.912017,-73.403631
"New York, Sand Lake, 12018",42.623661,-73.730785
"Connecticut, Salisbury, 6039",42.00579,-73.399336
"New York, Ancram, 12502",42.067399,-73.657698
"New York, Sand Lake, 12061",42.60852,-73.676008
"New York, Ghent, 12075",42.32537,-73.6179
"Connecticut, Warren, 6754",41.742873,-73.34873
"New York, Stephentown, 12168",42.560862,-73.380714
"Connecticut, Litchfield, 6750",41.74732,-73.18872
"Connecticut, Morris, 6763",41.689616,-73.212587
"New York, Pittstown, 12180",42.623661,-73.730785
"New York, Petersburgh, 12138",42.74952,-73.34011
"Connecticut, Canaan, 6031",42.03484,-73.33247
"Connecticut, Woodbury, 6798",41.54454,-73.209
"New York, Poestenkill, 12018",42.623661,-73.730785
"New York, Claverack, 12513",42.22509,-73.73457
"New York, Northeast, 12546",41.93846,-73.546336
"New York, Copake, 12502",42.067399,-73.657698
"New York, Hillsdale, 12521",42.190488,-73.64465
"New York, Chatham, 12037",42.335777,-73.528651
"New York, East Nassau, 12062",42.911976,-73.403334
"New York, Chatham, 12136",42.434992,-73.561172
"Connecticut, Thomaston, 6787",41.658721,-73.098657
"New York, Craryville, 12513",42.22509,-73.73457
"Connecticut, Cornwall, 6031",41.828067,-73.332345
"Connecticut, Washington, 6793",41.63148,-73.31067
"New York, Claverack, 12534",42.184313,-73.742997
"New York, Sand Lake, 12196",42.623661,-73.730785
"Connecticut, Middlebury, 6762",41.528274,-73.116458
"New York, Craryville, 12521",42.190488,-73.64465
"Vermont, Pownal, 5261",42.790682,-73.201254
"New York, Grafton, 12052",42.623661,-73.730785
